Treatment and Run,Role,ID,G2A,G2B,G3A,G3B,G4A,G4B,G4C,G4D,G5A,G5B,G6A,G6B,G7A,G7B,G8A,G8B,G9A,G9B
B1,R,01,T,T,T,T,T,T,T,T,B,B,T,B,B,T,B,B,T,T
B1,R,02,T,T,T,T,B,T,T,T,B,B,T,T,B,T,B,B,T,T
B1,R,03,T,T,B,B,T,T,B,B,T,M,B,T,B,B,T,T,B,B
B1,R,04,B,B,B,B,T,B,T,B,B,M,B,B,B,B,M,B,B,B
B1,R,05,T,T,B,T,B,B,T,T,B,B,B,B,B,B,B,B,T,T
B1,R,06,B,T,T,B,B,B,B,T,B,B,T,T,T,B,B,B,T,T
B1,R,09,T,T,T,T,T,M,T,T,B,T,T,T,B,T,B,B,T,T
B1,R,10,T,T,T,T,T,T,T,B,B,B,T,T,T,T,B,B,T,T
B1,R,21,B,B,B,B,B,B,B,B,M,T,B,B,B,B,M,M,B,B
B1,R,22,T,T,T,T,T,B,T,T,B,B,T,T,T,B,B,B,T,T
B1,R,23,T,T,T,T,T,B,T,T,T,B,T,B,B,B,T,T,T,T
B1,R,24,T,T,B,T,B,B,T,T,B,B,T,T,T,T,B,B,T,T
B1,C,11,R,R,L,L,L,L,R,L,R,L,R,R,M,R,R,R,L,L
B1,C,12,R,L,L,L,R,R,L,L,L,L,R,M,M,R,R,L,L,R
B1,C,13,L,L,L,L,L,L,L,L,L,L,R,R,R,R,L,L,L,L
B1,C,14,L,L,L,L,L,L,L,L,R,L,R,R,R,R,R,L,L,L
B1,C,15,R,L,L,R,R,R,L,L,R,L,R,L,L,L,L,R,L,L
B1,C,16,L,L,L,L,L,L,L,L,L,L,R,R,R,R,R,R,L,L
B1,C,18,R,L,L,L,L,L,L,L,L,L,R,R,R,R,L,L,L,L
B1,C,20,L,L,L,L,R,R,L,L,R,R,R,R,R,R,L,L,L,R
B1,C,25,L,L,L,L,L,L,L,L,L,L,L,R,L,L,L,L,L,L
B1,C,27,R,R,L,R,L,R,L,L,L,L,M,M,R,R,R,R,L,R
B1,C,28,R,R,L,L,L,L,R,R,R,R,R,R,R,R,R,R,R,L
B1,C,30,L,R,L,L,L,L,L,L,R,L,R,L,R,R,L,R,L,L
B2,R,01,T,T,B,T,B,B,T,T,B,B,T,T,B,T,B,B,T,T
B2,R,03,T,T,T,T,T,T,T,T,B,M,T,T,T,T,B,B,T,T
B2,R,05,B,T,B,T,T,B,T,T,B,B,T,B,B,B,B,B,T,B
B2,R,06,T,T,T,B,T,B,T,T,B,B,B,B,B,B,T,T,T,T
B2,R,07,T,B,B,B,B,B,T,T,B,B,B,B,B,B,M,M,T,B
B2,R,08,T,T,T,B,T,T,T,T,B,B,T,B,T,T,B,B,T,T
B2,R,09,T,T,T,T,T,T,T,T,T,B,B,T,T,T,T,T,T,T
B2,R,10,B,T,B,T,T,B,T,T,B,B,T,T,T,T,T,B,T,T
B2,R,21,T,T,T,T,T,T,T,T,B,B,T,T,T,T,B,B,T,T
B2,R,22,B,T,T,T,B,B,T,T,B,B,B,T,T,T,B,B,T,T
B2,C,11,L,L,L,L,L,L,L,L,L,L,R,R,R,R,R,L,L,L
B2,C,12,L,L,L,L,L,L,L,L,L,L,R,R,R,R,L,L,L,R
B2,C,14,R,L,L,L,L,L,R,R,R,L,R,L,R,R,R,R,R,L
B2,C,16,L,L,L,L,L,L,L,L,L,L,R,R,R,R,L,L,L,L
B2,C,17,R,R,R,L,L,L,R,R,R,R,R,L,R,M,R,L,R,L
B2,C,18,L,L,L,L,L,L,L,L,L,R,R,R,R,L,L,L,L,L
B2,C,19,R,R,L,L,L,L,R,L,R,L,R,R,R,R,R,R,L,L
B2,C,26,L,L,L,L,L,L,R,L,L,L,R,R,L,L,L,L,L,L
B2,C,27,L,R,R,L,L,L,R,L,R,L,M,M,M,R,R,R,R,L
B2,C,29,R,R,L,L,L,L,R,R,R,R,R,R,R,R,R,L,R,L
B2,C,30,R,L,L,L,L,L,R,L,R,L,R,R,R,R,R,R,R,L
OB,R,01,T,T,T,T,T,B,T,T,B,B,B,B,B,B,B,B,T,T
OB,R,02,T,T,T,T,B,T,T,T,B,B,T,T,B,B,B,B,T,T
OB,R,03,B,T,T,T,T,B,T,T,B,B,T,T,T,B,B,T,T,T
OB,R,04,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,B,T,T
OB,R,05,T,T,T,T,T,M,T,T,T,B,T,B,B,B,T,T,T,T
OB,R,06,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
OB,R,07,T,T,T,T,T,T,T,T,B,B,T,T,T,T,B,B,T,T
OB,R,09,B,T,T,T,T,B,T,T,B,B,T,T,T,T,B,B,T,T
OB,R,21,T,T,B,B,B,B,T,T,B,B,B,B,B,B,B,B,T,B
OB,R,22,B,T,B,B,B,B,T,T,B,M,B,B,B,T,B,M,T,T
OB,R,23,T,T,T,T,T,T,T,T,B,B,T,T,T,T,B,B,T,T
OB,R,24,T,T,T,T,T,T,T,T,B,B,T,T,T,T,T,T,T,T
OB,R,25,T,T,T,T,T,B,T,T,B,B,T,T,T,T,B,B,T,T
OB,R,26,T,T,T,B,T,B,T,T,B,M,T,B,T,B,B,B,T,T
OB,C,11,L,L,L,L,L,L,L,L,L,L,R,R,R,R,R,R,L,L
OB,C,12,L,L,L,L,R,L,R,L,L,L,R,R,R,M,L,R,L,L
OB,C,14,L,L,R,L,R,L,L,R,L,R,R,R,R,R,L,L,R,R
OB,C,15,L,L,L,L,L,L,L,L,R,L,L,M,L,L,R,L,L,L
OB,C,16,L,L,L,L,L,L,L,M,L,R,R,R,R,R,L,L,R,L
OB,C,17,L,L,L,L,L,L,L,L,L,L,R,R,R,L,L,R,L,L
OB,C,20,R,L,L,L,L,L,R,L,R,R,L,R,L,R,R,R,R,L
OB,C,27,L,L,L,L,L,L,R,L,L,R,R,R,R,R,R,R,R,L
OB,C,28,R,R,L,L,L,L,R,R,L,R,L,R,R,R,L,R,R,L
OB,C,29,L,L,L,L,L,L,R,L,L,L,L,L,L,L,L,R,L,L
OB,C,30,R,R,L,L,L,L,R,R,R,R,R,L,R,R,R,L,R,L
OB,C,31,R,L,L,L,L,L,R,L,L,L,R,R,R,R,R,R,R,L
OB,C,32,L,L,L,L,L,L,L,L,L,L,L,R,L,R,L,R,L,L
